task,model,skill_type,run,input_tokens,output_tokens,duration_sec,accuracy,correct,total_tests,solution_type,uses_velocity,error
task_004,haiku,no_skill,1,2098,1319,12.19,0.725,29,40,spherical,True,
task_004,haiku,manual_skill,1,2494,3000,18.74,0.0,0,40,unknown,False,"'[' was never closed (<string>, line 139)"
task_004,haiku,auto_skill,1,2189,3000,18.35,0.85,34,40,spherical,True,
task_004,sonnet,no_skill,1,2099,1209,19.82,1.0,40,40,coulomb,True,
task_004,sonnet,manual_skill,1,2495,1709,25.75,0.0,0,40,unknown,False,function not found
task_004,sonnet,auto_skill,1,2190,3000,46.35,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 110)"
task_004,haiku,no_skill,2,2098,2084,15.47,0.525,21,40,lorentz,True,
task_004,haiku,manual_skill,2,2494,3000,17.99,0.0,0,40,lorentz,True,
task_004,haiku,auto_skill,2,2189,2989,18.42,0.95,38,40,spherical,True,
task_004,sonnet,no_skill,2,2099,1434,25.32,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,2,2495,851,14.89,1.0,40,40,coulomb,True,
task_004,sonnet,auto_skill,2,2190,3000,44.04,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,3,2098,1793,13.1,1.0,40,40,lorentz,True,
task_004,haiku,manual_skill,3,2494,3000,18.32,0.0,0,40,lorentz,True,
task_004,haiku,auto_skill,3,2189,2779,17.64,0.0,0,40,unknown,False,function not found
task_004,sonnet,no_skill,3,2099,1213,21.87,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,3,2495,1106,18.06,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,3,2190,2999,46.88,1.0,40,40,coulomb,True,
task_004,haiku,no_skill,4,2098,2176,14.78,0.775,31,40,spherical,True,
task_004,haiku,manual_skill,4,2494,1017,8.98,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,4,2189,3000,19.14,0.75,30,40,spherical,True,
task_004,sonnet,no_skill,4,2099,2912,43.55,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,4,2495,1070,18.22,1.0,40,40,coulomb,True,
task_004,sonnet,auto_skill,4,2190,3000,42.97,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,5,2098,2793,17.58,1.0,40,40,spherical,True,
task_004,haiku,manual_skill,5,2494,3000,18.14,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 144)"
task_004,haiku,auto_skill,5,2189,3000,18.19,0.95,38,40,spherical,True,
task_004,sonnet,no_skill,5,2099,1155,20.57,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,5,2495,1011,16.9,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,5,2190,3000,42.88,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,6,2098,1372,11.04,0.0,0,40,unknown,False,cannot unpack non-iterable ellipsis object
task_004,haiku,manual_skill,6,2494,1143,9.71,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,6,2189,2968,18.14,0.95,38,40,spherical,True,
task_004,sonnet,no_skill,6,2099,1652,28.52,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,6,2495,1126,19.52,1.0,40,40,lorentz,True,
task_004,sonnet,auto_skill,6,2190,3000,43.1,0.0,0,40,unknown,False,function not found
